task,from_checkpoint,to_checkpoint,score_from,score_to,delta
BB VitaminC Fact Verification,Qwen 1.7B Base,Carolina adapted,0.6366666666666667,0.5966666666666667,-0.04
BB Social IQA,Qwen 1.7B Base,Carolina adapted,0.5833333333333334,0.59,0.0067
BB Causal Judgment,Qwen 1.7B Base,Carolina adapted,0.5789473684210527,0.5473684210526316,-0.0316
BB BBQ,Qwen 1.7B Base,Carolina adapted,0.7566666666666667,0.71,-0.0467
BB Cause and Effect,Qwen 1.7B Base,Carolina adapted,0.7843137254901961,0.7450980392156863,-0.0392
StoryCloze,Qwen 1.7B Base,Carolina adapted,0.9033333333333333,0.8466666666666667,-0.0567
Math MC,Qwen 1.7B Base,Carolina adapted,0.52,0.5533333333333333,0.0333
GSM8K MC,Qwen 1.7B Base,Carolina adapted,0.4,0.4033333333333333,0.0033
AGIEval SAT Math,Qwen 1.7B Base,Carolina adapted,0.5181818181818182,0.4818181818181818,-0.0364
Balanced COPA,Qwen 1.7B Base,Carolina adapted,0.8166666666666667,0.84,0.0233
LogiQA,Qwen 1.7B Base,Carolina adapted,0.43434343434343436,0.4276094276094276,-0.0067
